# Local self energy at imaginary frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-101.709062 0.999975 0.009832 0.999975 0.009832 
-101.551983 0.999975 0.009847 0.999975 0.009847 
-101.394903 0.999975 0.009862 0.999975 0.009862 
-101.237823 0.999975 0.009878 0.999975 0.009878 
-101.080744 0.999975 0.009893 0.999975 0.009893 
-100.923664 0.999975 0.009908 0.999975 0.009908 
-100.766584 0.999975 0.009924 0.999975 0.009924 
-100.609505 0.999975 0.009939 0.999975 0.009939 
-100.452425 0.999974 0.009955 0.999974 0.009955 
-100.295345 0.999974 0.009970 0.999974 0.009970 
-100.138266 0.999974 0.009986 0.999974 0.009986 
-99.981186 0.999974 0.010002 0.999974 0.010002 
-99.824107 0.999974 0.010018 0.999974 0.010018 
-99.667027 0.999974 0.010033 0.999974 0.010033 
-99.509947 0.999974 0.010049 0.999974 0.010049 
-99.352868 0.999974 0.010065 0.999974 0.010065 
-99.195788 0.999974 0.010081 0.999974 0.010081 
-99.038708 0.999974 0.010097 0.999974 0.010097 
-98.881629 0.999974 0.010113 0.999974 0.010113 
-98.724549 0.999974 0.010129 0.999974 0.010129 
-98.567470 0.999973 0.010145 0.999973 0.010145 
-98.410390 0.999973 0.010161 0.999973 0.010161 
-98.253310 0.999973 0.010178 0.999973 0.010178 
-98.096231 0.999973 0.010194 0.999973 0.010194 
-97.939151 0.999973 0.010210 0.999973 0.010210 
-97.782071 0.999973 0.010227 0.999973 0.010227 
-97.624992 0.999973 0.010243 0.999973 0.010243 
-97.467912 0.999973 0.010260 0.999973 0.010260 
-97.310832 0.999973 0.010276 0.999973 0.010276 
-97.153753 0.999973 0.010293 0.999973 0.010293 
-96.996673 0.999973 0.010310 0.999973 0.010310 
-96.839594 0.999973 0.010326 0.999973 0.010326 
-96.682514 0.999972 0.010343 0.999972 0.010343 
-96.525434 0.999972 0.010360 0.999972 0.010360 
-96.368355 0.999972 0.010377 0.999972 0.010377 
-96.211275 0.999972 0.010394 0.999972 0.010394 
-96.054195 0.999972 0.010411 0.999972 0.010411 
-95.897116 0.999972 0.010428 0.999972 0.010428 
-95.740036 0.999972 0.010445 0.999972 0.010445 
-95.582956 0.999972 0.010462 0.999972 0.010462 
-95.425877 0.999972 0.010479 0.999972 0.010479 
-95.268797 0.999972 0.010497 0.999972 0.010497 
-95.111718 0.999972 0.010514 0.999972 0.010514 
-94.954638 0.999971 0.010531 0.999971 0.010531 
-94.797558 0.999971 0.010549 0.999971 0.010549 
-94.640479 0.999971 0.010566 0.999971 0.010566 
-94.483399 0.999971 0.010584 0.999971 0.010584 
-94.326319 0.999971 0.010601 0.999971 0.010601 
-94.169240 0.999971 0.010619 0.999971 0.010619 
-94.012160 0.999971 0.010637 0.999971 0.010637 
-93.855081 0.999971 0.010655 0.999971 0.010655 
-93.698001 0.999971 0.010673 0.999971 0.010673 
-93.540921 0.999971 0.010690 0.999971 0.010690 
-93.383842 0.999970 0.010708 0.999970 0.010708 
-93.226762 0.999970 0.010726 0.999970 0.010726 
-93.069682 0.999970 0.010745 0.999970 0.010745 
-92.912603 0.999970 0.010763 0.999970 0.010763 
-92.755523 0.999970 0.010781 0.999970 0.010781 
-92.598443 0.999970 0.010799 0.999970 0.010799 
-92.441364 0.999970 0.010818 0.999970 0.010818 
-92.284284 0.999970 0.010836 0.999970 0.010836 
-92.127205 0.999970 0.010854 0.999970 0.010854 
-91.970125 0.999970 0.010873 0.999970 0.010873 
-91.813045 0.999969 0.010892 0.999969 0.010892 
-91.655966 0.999969 0.010910 0.999969 0.010910 
-91.498886 0.999969 0.010929 0.999969 0.010929 
-91.341806 0.999969 0.010948 0.999969 0.010948 
-91.184727 0.999969 0.010967 0.999969 0.010967 
-91.027647 0.999969 0.010986 0.999969 0.010986 
-90.870568 0.999969 0.011005 0.999969 0.011005 
-90.713488 0.999969 0.011024 0.999969 0.011024 
-90.556408 0.999969 0.011043 0.999969 0.011043 
-90.399329 0.999968 0.011062 0.999968 0.011062 
-90.242249 0.999968 0.011081 0.999968 0.011081 
-90.085169 0.999968 0.011101 0.999968 0.011101 
-89.928090 0.999968 0.011120 0.999968 0.011120 
-89.771010 0.999968 0.011139 0.999968 0.011139 
-89.613930 0.999968 0.011159 0.999968 0.011159 
-89.456851 0.999968 0.011178 0.999968 0.011178 
-89.299771 0.999968 0.011198 0.999968 0.011198 
-89.142692 0.999968 0.011218 0.999968 0.011218 
-88.985612 0.999967 0.011238 0.999967 0.011238 
-88.828532 0.999967 0.011258 0.999967 0.011258 
-88.671453 0.999967 0.011277 0.999967 0.011277 
-88.514373 0.999967 0.011298 0.999967 0.011298 
-88.357293 0.999967 0.011318 0.999967 0.011318 
-88.200214 0.999967 0.011338 0.999967 0.011338 
-88.043134 0.999967 0.011358 0.999967 0.011358 
-87.886054 0.999967 0.011378 0.999967 0.011378 
-87.728975 0.999967 0.011399 0.999967 0.011399 
-87.571895 0.999966 0.011419 0.999966 0.011419 
-87.414816 0.999966 0.011440 0.999966 0.011440 
-87.257736 0.999966 0.011460 0.999966 0.011460 
-87.100656 0.999966 0.011481 0.999966 0.011481 
-86.943577 0.999966 0.011502 0.999966 0.011502 
-86.786497 0.999966 0.011522 0.999966 0.011522 
-86.629417 0.999966 0.011543 0.999966 0.011543 
-86.472338 0.999966 0.011564 0.999966 0.011564 
-86.315258 0.999965 0.011585 0.999965 0.011585 
-86.158179 0.999965 0.011606 0.999965 0.011606 
-86.001099 0.999965 0.011628 0.999965 0.011628 
-85.844019 0.999965 0.011649 0.999965 0.011649 
-85.686940 0.999965 0.011670 0.999965 0.011670 
-85.529860 0.999965 0.011692 0.999965 0.011692 
-85.372780 0.999965 0.011713 0.999965 0.011713 
-85.215701 0.999965 0.011735 0.999965 0.011735 
-85.058621 0.999964 0.011756 0.999964 0.011756 
-84.901541 0.999964 0.011778 0.999964 0.011778 
-84.744462 0.999964 0.011800 0.999964 0.011800 
-84.587382 0.999964 0.011822 0.999964 0.011822 
-84.430303 0.999964 0.011844 0.999964 0.011844 
-84.273223 0.999964 0.011866 0.999964 0.011866 
-84.116143 0.999964 0.011888 0.999964 0.011888 
-83.959064 0.999963 0.011910 0.999963 0.011910 
-83.801984 0.999963 0.011933 0.999963 0.011933 
-83.644904 0.999963 0.011955 0.999963 0.011955 
-83.487825 0.999963 0.011978 0.999963 0.011978 
-83.330745 0.999963 0.012000 0.999963 0.012000 
-83.173666 0.999963 0.012023 0.999963 0.012023 
-83.016586 0.999963 0.012046 0.999963 0.012046 
-82.859506 0.999962 0.012069 0.999962 0.012069 
-82.702427 0.999962 0.012091 0.999962 0.012091 
-82.545347 0.999962 0.012114 0.999962 0.012114 
