# Local self energy at real frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
2.550000 1.610114 -0.969675 1.610114 -0.969675 
2.580000 1.619698 -0.983608 1.619698 -0.983608 
2.610000 1.629732 -0.997296 1.629732 -0.997296 
2.640000 1.640207 -1.010719 1.640207 -1.010719 
2.670000 1.651115 -1.023861 1.651115 -1.023861 
2.700000 1.662444 -1.036702 1.662444 -1.036702 
2.730000 1.674184 -1.049226 1.674184 -1.049226 
2.760000 1.686324 -1.061416 1.686324 -1.061416 
2.790000 1.698849 -1.073257 1.698849 -1.073257 
2.820000 1.711747 -1.084732 1.711747 -1.084732 
2.850000 1.725002 -1.095826 1.725002 -1.095826 
2.880000 1.738599 -1.106526 1.738599 -1.106526 
2.910000 1.752523 -1.116819 1.752523 -1.116819 
2.940000 1.766755 -1.126691 1.766755 -1.126691 
2.970000 1.781280 -1.136131 1.781280 -1.136131 
3.000000 1.796078 -1.145130 1.796078 -1.145130 
3.030000 1.811131 -1.153676 1.811131 -1.153676 
3.060000 1.826420 -1.161762 1.826420 -1.161762 
3.090000 1.841926 -1.169379 1.841926 -1.169379 
3.120000 1.857629 -1.176521 1.857629 -1.176521 
3.150000 1.873509 -1.183183 1.873509 -1.183183 
3.180000 1.889547 -1.189360 1.889547 -1.189360 
3.210000 1.905721 -1.195049 1.905721 -1.195049 
3.240000 1.922012 -1.200247 1.922012 -1.200247 
3.270000 1.938399 -1.204954 1.938399 -1.204954 
3.300000 1.954862 -1.209167 1.954862 -1.209167 
3.330000 1.971383 -1.212890 1.971383 -1.212890 
3.360000 1.987939 -1.216123 1.987939 -1.216123 
3.390000 2.004514 -1.218869 2.004514 -1.218869 
3.420000 2.021086 -1.221131 2.021086 -1.221131 
3.450000 2.037639 -1.222915 2.037639 -1.222915 
3.480000 2.054153 -1.224226 2.054153 -1.224226 
3.510000 2.070611 -1.225070 2.070611 -1.225070 
3.540000 2.086996 -1.225455 2.086996 -1.225455 
3.570000 2.103291 -1.225387 2.103291 -1.225387 
3.600000 2.119481 -1.224876 2.119481 -1.224876 
3.630000 2.135550 -1.223931 2.135550 -1.223931 
3.660000 2.151483 -1.222562 2.151483 -1.222562 
3.690000 2.167267 -1.220778 2.167267 -1.220778 
3.720000 2.182888 -1.218591 2.182888 -1.218591 
3.750000 2.198335 -1.216011 2.198335 -1.216011 
3.780000 2.213595 -1.213051 2.213595 -1.213051 
3.810000 2.228657 -1.209723 2.228657 -1.209723 
3.840000 2.243512 -1.206037 2.243512 -1.206037 
3.870000 2.258150 -1.202008 2.258150 -1.202008 
3.900000 2.272561 -1.197647 2.272561 -1.197647 
3.930000 2.286739 -1.192968 2.286739 -1.192968 
