# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
5.640000 0.019036 0.019036 0.019036 0.019036
5.670000 0.018470 0.018470 0.018470 0.018470
5.700000 0.017921 0.017921 0.017921 0.017921
5.730000 0.017387 0.017387 0.017387 0.017387
5.760000 0.016870 0.016870 0.016870 0.016870
5.790000 0.016368 0.016368 0.016368 0.016368
5.820000 0.015882 0.015882 0.015882 0.015882
5.850000 0.015411 0.015411 0.015411 0.015411
5.880000 0.014955 0.014955 0.014955 0.014955
5.910000 0.014513 0.014513 0.014513 0.014513
5.940000 0.014086 0.014086 0.014086 0.014086
5.970000 0.013673 0.013673 0.013673 0.013673
6.000000 0.013273 0.013273 0.013273 0.013273
