# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
2.400000 0.082370 0.082370 0.082370 0.082370
2.430000 0.081948 0.081948 0.081948 0.081948
2.460000 0.081509 0.081509 0.081509 0.081509
2.490000 0.081055 0.081055 0.081055 0.081055
2.520000 0.080585 0.080585 0.080585 0.080585
2.550000 0.080099 0.080099 0.080099 0.080099
2.580000 0.079598 0.079598 0.079598 0.079598
2.610000 0.079083 0.079083 0.079083 0.079083
2.640000 0.078554 0.078554 0.078554 0.078554
2.670000 0.078013 0.078013 0.078013 0.078013
2.700000 0.077459 0.077459 0.077459 0.077459
2.730000 0.076892 0.076892 0.076892 0.076892
2.760000 0.076314 0.076314 0.076314 0.076314
2.790000 0.075724 0.075724 0.075724 0.075724
2.820000 0.075123 0.075123 0.075123 0.075123
2.850000 0.074511 0.074511 0.074511 0.074511
2.880000 0.073887 0.073887 0.073887 0.073887
2.910000 0.073253 0.073253 0.073253 0.073253
2.940000 0.072607 0.072607 0.072607 0.072607
2.970000 0.071951 0.071951 0.071951 0.071951
3.000000 0.071283 0.071283 0.071283 0.071283
3.030000 0.070605 0.070605 0.070605 0.070605
3.060000 0.069915 0.069915 0.069915 0.069915
3.090000 0.069216 0.069216 0.069216 0.069216
3.120000 0.068506 0.068506 0.068506 0.068506
3.150000 0.067787 0.067787 0.067787 0.067787
3.180000 0.067058 0.067058 0.067058 0.067058
3.210000 0.066320 0.066320 0.066320 0.066320
3.240000 0.065574 0.065574 0.065574 0.065574
3.270000 0.064821 0.064821 0.064821 0.064821
3.300000 0.064060 0.064060 0.064060 0.064060
3.330000 0.063293 0.063293 0.063293 0.063293
3.360000 0.062520 0.062520 0.062520 0.062520
3.390000 0.061742 0.061742 0.061742 0.061742
3.420000 0.060960 0.060960 0.060960 0.060960
3.450000 0.060175 0.060175 0.060175 0.060175
3.480000 0.059387 0.059387 0.059387 0.059387
3.510000 0.058598 0.058598 0.058598 0.058598
3.540000 0.057807 0.057807 0.057807 0.057807
3.570000 0.057016 0.057016 0.057016 0.057016
3.600000 0.056225 0.056225 0.056225 0.056225
3.630000 0.055436 0.055436 0.055436 0.055436
3.660000 0.054648 0.054648 0.054648 0.054648
3.690000 0.053862 0.053862 0.053862 0.053862
3.720000 0.053079 0.053079 0.053079 0.053079
3.750000 0.052299 0.052299 0.052299 0.052299
3.780000 0.051523 0.051523 0.051523 0.051523
3.810000 0.050752 0.050752 0.050752 0.050752
3.840000 0.049985 0.049985 0.049985 0.049985
3.870000 0.049223 0.049223 0.049223 0.049223
3.900000 0.048467 0.048467 0.048467 0.048467
3.930000 0.047717 0.047717 0.047717 0.047717
3.960000 0.046972 0.046972 0.046972 0.046972
3.990000 0.046235 0.046235 0.046235 0.046235
4.020000 0.045504 0.045504 0.045504 0.045504
4.050000 0.044780 0.044780 0.044780 0.044780
4.080000 0.044063 0.044063 0.044063 0.044063
4.110000 0.043354 0.043354 0.043354 0.043354
4.140000 0.042653 0.042653 0.042653 0.042653
4.170000 0.041960 0.041960 0.041960 0.041960
4.200000 0.041275 0.041275 0.041275 0.041275
4.230000 0.040599 0.040599 0.040599 0.040599
4.260000 0.039931 0.039931 0.039931 0.039931
