# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
4.890000 0.020703 0.020597 0.020703 0.020597
4.920000 0.020640 0.020449 0.020640 0.020449
4.950000 0.020698 0.020416 0.020698 0.020416
4.980000 0.020887 0.020506 0.020887 0.020506
5.010000 0.021222 0.020732 0.021222 0.020732
5.040000 0.021718 0.021109 0.021718 0.021109
5.070000 0.022397 0.021658 0.022397 0.021658
5.100000 0.023285 0.022404 0.023285 0.022404
5.130000 0.024415 0.023380 0.024415 0.023380
5.160000 0.025821 0.024624 0.025821 0.024624
5.190000 0.027546 0.026184 0.027546 0.026184
5.220000 0.029629 0.028110 0.029629 0.028110
5.250000 0.032106 0.030457 0.032106 0.030457
5.280000 0.034994 0.033270 0.034994 0.033270
5.310000 0.038274 0.036567 0.038274 0.036567
5.340000 0.041871 0.040316 0.041871 0.040316
5.370000 0.045636 0.044401 0.045636 0.044401
5.400000 0.049349 0.048603 0.049349 0.048603
5.430000 0.052744 0.052613 0.052744 0.052613
5.460000 0.055566 0.056089 0.055566 0.056089
5.490000 0.057632 0.058746 0.057632 0.058746
5.520000 0.058863 0.060432 0.058863 0.060432
5.550000 0.059284 0.061144 0.059284 0.061144
5.580000 0.058983 0.060988 0.058983 0.060988
5.610000 0.058068 0.060111 0.058068 0.060111
5.640000 0.056629 0.058635 0.056629 0.058635
5.670000 0.054734 0.056642 0.054734 0.056642
5.700000 0.052440 0.054188 0.052440 0.054188
5.730000 0.049813 0.051340 0.049813 0.051340
5.760000 0.046938 0.048193 0.046938 0.048193
5.790000 0.043914 0.044868 0.043914 0.044868
5.820000 0.040842 0.041492 0.040842 0.041492
5.850000 0.037809 0.038175 0.037809 0.038175
5.880000 0.034886 0.035000 0.034886 0.035000
5.910000 0.032127 0.032028 0.032127 0.032028
5.940000 0.029567 0.029298 0.029567 0.029298
5.970000 0.027225 0.026828 0.027225 0.026828
6.000000 0.025106 0.024621 0.025106 0.024621
